# HUMAN-TIME CATEGORY TAGS — one line per engagement block.
# Format:  <block-id>\t<CATEGORY>\t<optional note>
# Categories (docs/measurement-preregistration.md §2):
#   DIRECTING   rulings, councils, requirement-setting
#   REVIEWING   reading that GATES an artifact (freeze ratification, paper review)
#   UNBLOCKING  logins, purchases, physical acts
#   WATCHING    curiosity — reading along, questions redirecting nothing
# THE CLAIM = DIRECTING + REVIEWING + UNBLOCKING. WATCHING is its own proud line.
# Counterfactual test for the first three: would the artifact exist without this touch?
#
# Block ids come from `python3 docs/ledger-tools/human_time.py --since '<T0>'`.
# Tagging is the maestro's at councils, spot-audited by JYH. An untagged block
# is reported as UNTAGGED and folded into nothing.
20260805T1759	DIRECTING	commissioned the overnight push (the night-shift order)
20260805T2039	DIRECTING	THE TRIPLE CHARGE: campaign requirements set; the two-chip/patent note later redirected the silicon design
20260805T2201	DIRECTING	T0: the clock started, triples supplied, seat questions ruled (incl. UNBLOCKING: account data)
20260806T0055	WATCHING	"all good?" — status glance, redirected nothing
20260806T0629	DIRECTING	Council I: measurement pre-registration, subject areas, TPU tradeoffs, THE SEAM DOCTRINE ratified
20260806T0757	DIRECTING	council rulings + fleet launch (incl. UNBLOCKING: 5 logins/pastes, OOM kills; and the BIT-SERIAL ruling — load-bearing)
#
# --- 2026-08-06 evening: the three remaining blocks, JYH-DIRECTED ---
# Provenance: the charter (§2) puts tagging with the maestro and JYH as
# spot-auditor. JYH directed this seat to tag them at 19:2x; recorded here
# because a tag whose authority is unstated is a tag nobody can audit.
# Method: evidence-gather each block, then ADVERSARIALLY attack each proposed
# tag from the "this is really WATCHING" side. The burden of proof sat on the
# claim-eligible tag. One of the three did not survive -- see 20260806T1456.
20260806T1243	DIRECTING	the private-repo ORDER (no seat proposed it; gh repo create fired within the minute; origin is live today) + the Mini-migration GO at 13:49 (the 13:52 bus post is its echo) + 3 physical acts. NOTE: most of the block IS watching-shaped; the tag rests on a narrow irreducible base
20260806T1456	WATCHING	REFUTED my own 17:23 UNBLOCKING proposal. Not an authentication event: it is JYH fixed 4-command seat-boot macro (/model /effort /login /remote-control) which fires 12x on 8/6 including on the OLD laptop inside a session alive since 07-24. Zero commits in the window
20260806T1525	UNBLOCKING	the Mini relight: five seat logins + the public-repo and visibility-flip orders. DEDUCTED: two apparent human lines (17:07, 18:43) were maestro tmux send-keys, and three relight briefs were machine-authored with JYH as transport
#
# ⚠️ READ THE SHARE WITH ITS UNIT: THE BLOCK IS TOO COARSE, AND IT INFLATES.
# With these three tags THE CLAIM reaches 99.6% of engaged time (11h13m of
# 11h16m). Do NOT publish that as "99.6% of the human time was load-bearing".
# No tag above is wrong; the UNIT is. A block takes ONE category, but the
# adversarial pass showed block 20260806T1243 is MOSTLY watching-shaped -- 11
# of its 20 typed messages redirect nothing, and its longest contiguous
# stretch (10 of 60 typed minutes) is iTerm2 window-management questions --
# while a single irreducible order inside it (the private-repo create) drags
# the whole 1h13m into THE CLAIM. Same for the 3h55m evening block.
# The charter tests each TOUCH ("would the artifact exist without this
# touch?"); the instrument tags each BLOCK. That mismatch biases in the
# INFLATING direction, which is the dishonest one. Until tagging is per-touch
# or blocks are split, quote the claim as a COARSE UPPER BOUND, and quote
# WATCHING (0h02m) as the floor it obviously is not.
